,id,stationCode,stationName,location
859,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101474,Vasanth Nagar Bus Stop,"{'type': 'Point', 'coordinates': [77.59541127830742, 12.993312287457359]}"
860,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101476,"Indian Oil Pump 19th Main Road, HSR","{'type': 'Point', 'coordinates': [77.64501882, 12.92146193]}"
861,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101477,Opposite Paradise Hyderbadi Biryani,"{'type': 'Point', 'coordinates': [77.64140597, 12.97830265]}"
862,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101479,Outside Skyline RK Atlantis,"{'type': 'Point', 'coordinates': [77.6648625, 12.99461669]}"
863,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101480,Sai Teja Sherwood Apartments,"{'type': 'Point', 'coordinates': [77.66889475286007, 12.99079282734103]}"
864,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101481,Prestige Lakeside Zephyr Club,"{'type': 'Point', 'coordinates': [77.73413693, 12.93242767]}"
865,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101482,Prestige Lakeside Elliot Club,"{'type': 'Point', 'coordinates': [77.73661392, 12.93245935]}"
866,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101484,Prestige Lakeside Manilla Club,"{'type': 'Point', 'coordinates': [77.73854975, 12.93339034]}"
867,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101485,Prestige Lakeside Leroy Club,"{'type': 'Point', 'coordinates': [77.73802492, 12.93072176]}"
868,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101486,Prestige Lakeside Main Gate,"{'type': 'Point', 'coordinates': [77.73921025, 12.93008755]}"
869,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101491,Opp.Mataji Provision Store,"{'type': 'Point', 'coordinates': [77.68296455, 12.84943568]}"
870,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101492,NTC New Management Home Stay For Gents,"{'type': 'Point', 'coordinates': [77.68084524, 12.848124]}"
871,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101493,Outside Fiesta Homes,"{'type': 'Point', 'coordinates': [77.67424417, 12.85844958]}"
872,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101495,Fortune Residency,"{'type': 'Point', 'coordinates': [77.67467457801102, 12.860805161862872]}"
873,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101496,Bren Trillium,"{'type': 'Point', 'coordinates': [77.66639292240143, 12.866055217145119]}"
